filename,old_query,new_query
solarwinds_process_disabling_services.yml,"(RegistryKeyPath RegExp ""\bMACHINE\\SYSTEM\\.*ControlSet.*\\Services\\.*\\Start"" AND EventType = ""Registry Value Modified"") AND SrcProcName RegExp ""(.*\.)?((SolarWinds.BusinessLayerHost.*|ConfigurationWizard.*|NetflowDatabasemaintenance.*|NetFlowService.*|SolarWinds.Administration.*|SolarWinds.Collector.Service.*|SolarwindsDiagnostics.*).exe)""","(registry.key_path matches ""\bMACHINE\\SYSTEM\\.*ControlSet.*\\Services\\.*\\Start"" AND event.type = ""Registry Value Modified"") AND src.process.name matches ""(.*\.)?((SolarWinds.BusinessLayerHost.*|ConfigurationWizard.*|NetflowDatabasemaintenance.*|NetFlowService.*|SolarWinds.Administration.*|SolarWinds.Collector.Service.*|SolarwindsDiagnostics.*).exe)"""
sunburst_campaign.yml,"DstIp In (""13.59.205.66"",""54.193.127.66"",""54.215.192.52"",""34.203.203.23"",""139.99.115.204"",""5.252.177.25"",""5.252.177.21"",""204.188.205.176"",""51.89.125.18"",""167.114.213.199"") OR DnsRequest In Contains (""avsvmcloud.com"",""freescanonline.com"",""deftsecurity.com"",""freescanonline.com"",""thedoccloud.com"",""websitetheme.com"",""highdatabase.com"",""incomeupdate.com"",""databasegalore.com"",""panhardware.com"",""zupertech.com"") OR Sha256 In (""d0d626deb3f9484e649294a8dfa814c5568f846d5aa02d4cdad5d041a29d5600"",""53f8dfc65169ccda021b72a62e0c22a4db7c4077f002fa742717d41b3c40f2c7"",""019085a76ba7126fff22770d71bd901c325fc68ac55aa743327984e89f4b0134"",""ce77d116a074dab7a22a0fd4f2c1ab475f16eec42e1ded3c0b0aa8211fe858d6"",""32519b85c0b422e4656de6e6c41878e95fd95026267daab4215ee59c107d6c77"",""292327e5c94afa352cc5a02ca273df543f2020d0e76368ff96c84f4e90778712"",""c15abaf51e78ca56c0376522d699c978217bf041a3bd3c71d09193efa5717c71"",""dab758bf98d9b36fa057a66cd0284737abf89857b73ca89280267ee7caf62f3b"",""eb6fab5a2964c5817fb239a7a5079cabca0a00464fb3e07155f28b0a57a2c0ed"",""c09040d35630d75dfef0f804f320f8b3d16a481071076918e9b236a321c1ea77"",""ac1b2b89e60707a20e9eb1ca480bc3410ead40643b386d624c5d21b47c02917c"",""019085a76ba7126fff22770d71bd901c325fc68ac55aa743327984e89f4b0134"",""ce77d116a074dab7a22a0fd4f2c1ab475f16eec42e1ded3c0b0aa8211fe858d6"")","dst.ip in (""13.59.205.66"",""54.193.127.66"",""54.215.192.52"",""34.203.203.23"",""139.99.115.204"",""5.252.177.25"",""5.252.177.21"",""204.188.205.176"",""51.89.125.18"",""167.114.213.199"") OR dns.request contains (""avsvmcloud.com"",""freescanonline.com"",""deftsecurity.com"",""freescanonline.com"",""thedoccloud.com"",""websitetheme.com"",""highdatabase.com"",""incomeupdate.com"",""databasegalore.com"",""panhardware.com"",""zupertech.com"") OR Sha256 in (""d0d626deb3f9484e649294a8dfa814c5568f846d5aa02d4cdad5d041a29d5600"",""53f8dfc65169ccda021b72a62e0c22a4db7c4077f002fa742717d41b3c40f2c7"",""019085a76ba7126fff22770d71bd901c325fc68ac55aa743327984e89f4b0134"",""ce77d116a074dab7a22a0fd4f2c1ab475f16eec42e1ded3c0b0aa8211fe858d6"",""32519b85c0b422e4656de6e6c41878e95fd95026267daab4215ee59c107d6c77"",""292327e5c94afa352cc5a02ca273df543f2020d0e76368ff96c84f4e90778712"",""c15abaf51e78ca56c0376522d699c978217bf041a3bd3c71d09193efa5717c71"",""dab758bf98d9b36fa057a66cd0284737abf89857b73ca89280267ee7caf62f3b"",""eb6fab5a2964c5817fb239a7a5079cabca0a00464fb3e07155f28b0a57a2c0ed"",""c09040d35630d75dfef0f804f320f8b3d16a481071076918e9b236a321c1ea77"",""ac1b2b89e60707a20e9eb1ca480bc3410ead40643b386d624c5d21b47c02917c"",""019085a76ba7126fff22770d71bd901c325fc68ac55aa743327984e89f4b0134"",""ce77d116a074dab7a22a0fd4f2c1ab475f16eec42e1ded3c0b0aa8211fe858d6"")"
dd_data_destruction.yml,"AgentOS In (""linux"",""osx"") AND TgtProcName = ""dd"" AND TgtProcCmdLine ContainsCIS ""of=""","agent.os_type in (""linux"",""osx"") AND tgt.process.name = ""dd"" AND TgtProcCmdLine ContainsCIS ""of="""
linux_firewall_disabled.yml,"(SrcProcName In Contains (""service"",""chkconfig"") AND SrcProcCmdLine In Contains (""off"",""stop"") AND SrcProcCmdLine ContainsCIS ""tables"") OR (TgtProcName = ""systemctl"" AND TgtProcCmdLine In Contains (""stop"",""disable"") AND TgtProcCmdLine Contains ""firewalld"")","(src.process.name contains (""service"",""chkconfig"") AND src.process.command_line contains (""off"",""stop"") AND src.process.command_line ContainsCIS ""tables"") OR (tgt.process.name = ""systemctl"" AND TgtProcCmdLine contains (""stop"",""disable"") AND TgtProcCmdLine Contains ""firewalld"")"
local_account_added_nix.yml,"SrcProcCmdLine In Contains Anycase (""useradd"")","src.process.command_line contains (""useradd"")"
nix_network_sniffing.yml,"TgtProcName In AnyCase (""tcpdump"",""tshark"")","tgt.process.name in AnyCase (""tcpdump"",""tshark"")"
syslog_disabled.yml,"TgtProcName In Contains (""service"",""chkconfig"",""systemctl"") AND TgtProcCmdLine In Contains (""rsyslog stop"",""off rsyslog"",""stop rsyslog"",""disable rsyslog"")","tgt.process.name contains (""service"",""chkconfig"",""systemctl"") AND TgtProcCmdLine contains (""rsyslog stop"",""off rsyslog"",""stop rsyslog"",""disable rsyslog"")"
account_access_removal.yml,"filter os = ""windows"" && ( osSrc.process.cmdline matches ""net\\s+user(?:(?!\\s+/delete)(?:.|\\n))*\\s+/delete"" || tgt.process.cmdline contains ""Remove-ADGroupMember"" || src.process.script contains ""Remove-ADGroupMember"" )","filter os = ""windows"" && ( osSrc.process.cmdline matches ""net\\s+user(?:(?!\\s+/delete)(?:.|\\n))*\\s+/delete"" || tgt.process.cmdline contains ""Remove-ADGroupMember"" || src.process.script contains ""Remove-ADGroupMember"" )"
account_manipulation.yml,"filter ( osSrc.process.cmdline contains:anycase (""New-ADUser"", ""Rename-LocalUser"", ""Set-LocalUser"") || src.process.script contains:anycase (""New-ADUser"", ""Rename-LocalUser"", ""Set-LocalUser"") || osSrc.process.cmdline matches ""\\bAdd-ADGroupMember\\b.*\\bDomain Admins\\b"" || src.process.script matches ""\\bAdd-ADGroupMember\\b.*\\bDomain Admins\\b"" ) && !(osSrc.process.parent.name in (""WmiPrvSE.exe"", ""AppVClient.exe"", ""svchost.exe"", ""CompatTelRunner.exe""))","filter ( osSrc.process.cmdline contains:anycase (""New-ADUser"", ""Rename-LocalUser"", ""Set-LocalUser"") || src.process.script contains:anycase (""New-ADUser"", ""Rename-LocalUser"", ""Set-LocalUser"") || osSrc.process.cmdline matches ""\\bAdd-ADGroupMember\\b.*\\bDomain Admins\\b"" || src.process.script matches ""\\bAdd-ADGroupMember\\b.*\\bDomain Admins\\b"" ) && !(osSrc.process.parent.name in (""WmiPrvSE.exe"", ""AppVClient.exe"", ""svchost.exe"", ""CompatTelRunner.exe""))"
allow_executable_through_defender_firewall.yml,"filter tgt.process.name == ""netsh.exe"" && tgt.process.cmdline contains ""add rule"" && tgt.process.cmdline contains ""program="" && tgt.process.cmdline contains:anycase (""C:\\Users"", ""C:\\Windows\\Temp"")","filter tgt.process.name == ""netsh.exe"" && tgt.process.cmdline contains ""add rule"" && tgt.process.cmdline contains ""program="" && tgt.process.cmdline contains:anycase (""C:\\Users"", ""C:\\Windows\\Temp"")"
allow_smb_and_rdp_on_defender_firewall.yml,"filter ( tgt.process.name == ""netsh.exe"" && tgt.process.cmdline contains ""remote desktop"" && tgt.process.cmdline contains ""enable=Yes"" ) || ( tgt.process.name == ""netsh.exe"" && tgt.process.cmdline contains ""file and printer sharing"" && tgt.process.cmdline contains ""enable=Yes"" )","filter ( tgt.process.name == ""netsh.exe"" && tgt.process.cmdline contains ""remote desktop"" && tgt.process.cmdline contains ""enable=Yes"" ) || ( tgt.process.name == ""netsh.exe"" && tgt.process.cmdline contains ""file and printer sharing"" && tgt.process.cmdline contains ""enable=Yes"" )"
amsi_bypass_initfailed.yml,"filter tgt.process.cmdline contains ""[Ref].Assembly.GetType('System.Management.Automation.AmsiUtils').GetField('amsiInitFailed','NonPublic,Static').SetValue($null,$true)"" || src.process.script contains ""[Ref].Assembly.GetType('System.Management.Automation.AmsiUtils').GetField('amsiInitFailed','NonPublic,Static').SetValue($null,$true)""","filter tgt.process.cmdline contains ""[Ref].Assembly.GetType('System.Management.Automation.AmsiUtils').GetField('amsiInitFailed','NonPublic,Static').SetValue($null,$true)"" || src.process.script contains ""[Ref].Assembly.GetType('System.Management.Automation.AmsiUtils').GetField('amsiInitFailed','NonPublic,Static').SetValue($null,$true)"""
application_shimming.yml,"filter ( src.process.name == ""sdbinst.exe"" && process.command_line contains "".sdb"" ) || ( ( registry.keyPath contains ""AppInit_DLLs"" || registry.path contains ""AppCompatFlags"" ) && ( event.type == ""Registry Value Create"" || event.type == ""Registry Value Modified"" ) )","filter ( src.process.name == ""sdbinst.exe"" && process.command_line contains "".sdb"" ) || ( ( registry.keyPath contains ""AppInit_DLLs"" || registry.path contains ""AppCompatFlags"" ) && ( event.type == ""Registry Value Create"" || event.type == ""Registry Value Modified"" ) )"
assoc_default_file_change.yml,,
at_scheduled_task.yml,tgt.process.name = 'at.exe' && tgt.process.cmdline contains '/interactive',tgt.process.name = 'at.exe' && tgt.process.cmdline contains '/interactive'
